storage,cpu,memory,bandwidth,price
25 GB,1 vCPU,1 GB,1 TB,$5/mo
50 GB,1 vCPU,2 GB,2 TB,$10/mo
60 GB,1 vCPU,3 GB,3 TB,$15/mo
60 GB,2 vCPUs,2 GB,3 TB,$15/mo
60 GB,3 vCPUs,1 GB,3 TB,$15/mo
80 GB,2 vCPUs,4 GB,4 TB,$20/mo
160 GB,4 vCPUs,8 GB,5 TB,$40/mo
320 GB,6 vCPUs,16 GB,6 TB,$80/mo
640 GB,8 vCPUs,32 GB,7 TB,$160/mo
960 GB,12 vCPUs,48 GB,8 TB,$240/mo
"1,280 GB",16 vCPUs,64 GB,9 TB,$320/mo
"1,920 GB",20 vCPUs,96 GB,10 TB,$480/mo
"2,560 GB",24 vCPUs,128 GB,11 TB,$640/mo
"3,840 GB",32 vCPUs,192 GB,12 TB,$960/mo
